time,{dmodel}.dmodel.movediscrete,{dmodel}.dmodel.pick,{dmodel}.dmodel.place,{dmodel}.dmodel.target_X,{dmodel}.dmodel.target_Y,{dmodel}.dmodel.target_Z,{dmodel}.dmodel.closing_diameter,{dmodel}.dmodel.closing_speed,{dmodel}.dmodel.closing_force,{dmodel}.dmodel.opening_diameter,{dmodel}.dmodel.opening_speed,{dmodel}.dmodel.opening_force,{dmodel}.dmodel.stop,{dmodel}.dmodel.movejoint,{dmodel}.dmodel.target_q0,{dmodel}.dmodel.target_q1,{dmodel}.dmodel.target_q2,{dmodel}.dmodel.target_q3,{dmodel}.dmodel.target_q4,{dmodel}.dmodel.target_q5,{dmodel}.dmodel.movecartesian,{dmodel}.dmodel.target_x,{dmodel}.dmodel.target_y,{dmodel}.dmodel.target_z,{dmodel}.dmodel.target_rx,{dmodel}.dmodel.target_ry,{dmodel}.dmodel.target_rz,{dmodel}.dmodel.setvelocity,{dmodel}.dmodel.target_v,{dmodel}.dmodel.state,{mapping}.mapping.feasibleMoveDiscreteCommand,{mapping}.mapping.robotStopped,{mapping}.mapping.gripperOpened,{mapping}.mapping.collision,{mapping}.mapping.gripperClosed,{mapping}.mapping.nonfeasibleMoveDiscreteCommand,{mapping}.mapping.moveCompleted,{mapping}.mapping.q0,{mapping}.mapping.q1,{mapping}.mapping.q2,{mapping}.mapping.q3,{mapping}.mapping.q4,{mapping}.mapping.q5,{mapping}.mapping.qd0,{mapping}.mapping.qd1,{mapping}.mapping.qd2,{mapping}.mapping.qd3,{mapping}.mapping.qd4,{mapping}.mapping.qd5,{mapping}.mapping.qdd0,{mapping}.mapping.qdd1,{mapping}.mapping.qdd2,{mapping}.mapping.qdd3,{mapping}.mapping.qdd4,{mapping}.mapping.qdd5,{mapping}.mapping.t0,{mapping}.mapping.t1,{mapping}.mapping.t2,{mapping}.mapping.t3,{mapping}.mapping.t4,{mapping}.mapping.t5,{controller}.controller.closeGripperCommand,{controller}.controller.openGripperCommand,{controller}.controller.moveDiscreteCommand,{controller}.controller.MovementArgs_target_X,{controller}.controller.MovementArgs_target_Y,{controller}.controller.MovementArgs_target_Z
0.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,false,false,false,false,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,false,0,0,0
0.5,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,-3.724230987600663E-6,-6.323687518747789E-4,-4.440892098500626E-16,-2.330191711745755E-4,1.0766801025408057E-5,-1.9885991906587464E-4,3.768381375834903E-5,0.01963092044334756,0.0,0.005804960855826375,4.635280657971914E-4,0.0070370914386330636,0.0,0.0,0.0,0.0,0.0,0.0,-44.29688537135591,48.198629607179726,15.782001870757295,1.9715651319928085,-0.07718348766033298,1.4293450876292249,false,false,false,0,0,0
1.0,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,1.534391175006533E-6,-9.33399840861604E-4,4.440892098500626E-16,-3.652177996542605E-4,1.7700402665798975E-5,-2.2053128558896518E-4,2.3474925505695388E-4,0.02019821645786733,0.0,0.008201683320319113,2.0786707848330347E-4,0.005555456335137871,0.0,0.0,0.0,0.0,0.0,0.0,-44.91735570826808,42.68689680463084,13.04310340334319,0.8066348399210124,0.03156345877054019,0.5951078467266602,false,false,false,0,0,0
1.5,false,false,false,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,,false,true,true,false,false,false,true,3.0194642306469177E-6,-2.675591884910844E-4,-4.440892098500626E-16,-9.910582889061104E-5,1.2273088404679555E-5,-1.7118361437340468E-4,1.0582310334683823E-4,-0.0486382172014476,8.881784197001442E-14,-0.018284442192851136,-6.165049661888265E-5,-0.01592942296300171,0.0,0.0,0.0,0.0,0.0,0.0,-43.951143030138034,33.90632939166874,5.2776549439176,-4.841240107817089,0.027817179913600637,0.24306103479156316,false,false,true,0,23,1
2.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,false,true,true,false,false,false,true,-1.1194957216353885E-5,-6.542024931617263E-4,-8.881784197001252E-16,-2.2897728051818333E-4,3.169482942766422E-8,-1.0339920300550531E-4,-5.711890924686835E-5,-0.05640423077535437,0.0,-0.012919637011066519,-3.753797939154504E-5,0.008545498312706639,0.0,0.0,0.0,0.0,0.0,0.0,-47.69483031513887,36.25645638133635,7.298695335113552,-3.4819499000788228,-0.0037665178616460627,-1.8505218414048414,false,false,false,0,0,0
2.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,false,false,true,false,false,false,false,-1.9147020586807173E-6,-7.705524371237615E-4,8.881784197001252E-16,-3.087763157876289E-4,-0.07754717436455882,-0.043837396274455376,-1.2493726791938098,-1.552606569967485,1.5707492784707513,-1.5636775665361369,-1.571566948104797,-0.18183553440494327,0.0,0.0,0.0,0.0,0.0,0.0,732.4689945725265,-0.9531686590428251,-28.010005334214043,-6.335683118382282,3.1649291550946685,-11.267395752238748,false,false,false,0,0,0
3.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,false,true,false,false,false,false,-0.691475101022089,-0.7782642343984914,0.8639155593999233,-0.8627535139609313,-0.9371984000796543,-0.06684904810466952,-1.5548188009476658,-1.6504019563744161,1.570753435921757,-1.5996291199581578,-1.5670471831063515,-0.016314119586713707,0.0,0.0,0.0,0.0,0.0,0.0,913.520435857575,63.6024677565955,15.363135978138923,0.623702891537269,4.133494881790313,-22.083779041620478,false,false,false,0,0,0
3.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,false,-1.179383335055543,-1.332055654839384,1.335142427831041,-1.335584322973605,-1.407757041461414,-0.06647367075106247,-0.9110564805514282,-1.628863114179814,1.5707567281705417,-1.5665878412262635,-0.7739095573718823,0.013141235097791361,0.0,0.0,0.0,0.0,0.0,0.0,900.4935750824814,28.11717044828249,-5.035308407929632,-15.041645365387222,-73.64407089948251,-4.2471068821331395,false,false,false,0,0,0
4.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,false,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6408492828506418,-1.735682485760699,1.6474302555121758,-1.8865550099170827,-1.5036636021834822,-0.06710841134338263,-0.5443684770236717,-7.343276221760831E-4,0.008912630817548197,-1.5614116642638343,-0.002936296898248321,0.0023155496458038766,0.0,0.0,0.0,0.0,0.0,0.0,-29.45199719502183,34.17991574226955,-2.218355991507565,-17.245343562681377,1.7087771170930623,-3.427370300351876,false,false,false,0,0,0
4.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.665699911289777,-1.7406065894431908,1.648580422688343,-2.2636306548908953,-1.5034852084871817,-0.06703491015182994,0.0025425341352303663,-0.04252122080750189,6.78939215958977E-7,-0.019082582732466286,0.003628091734420102,0.0032567652610283188,0.0,0.0,0.0,0.0,0.0,0.0,8.516745667290838,32.33993890764542,15.012526702235409,0.8079238914003177,-0.1985563948578104,0.25036447527164524,false,false,false,0,0,0
5.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658729593818817,-1.740132048155285,1.648580510256493,-2.263904229064817,-1.503609981686746,-0.06735425523834149,0.0033240363290332905,-0.04839579653150953,4.2543746303636903E-10,-0.029046695408219754,-0.005148542800448407,0.0011305016172080925,0.0,0.0,0.0,0.0,0.0,0.0,-28.97405109931895,31.017473457811008,7.776781809492118,-4.336136648632916,3.2256336136505417,2.06377867652076,false,false,false,0,0,0
5.5,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658124858440635,-1.7408241331795207,1.6485805103113957,-2.2638685973350245,-1.503604929888076,-0.06721618175368649,0.0048476698177425314,0.005982556573869274,0.0,0.0021970137639826717,-0.007249026016964576,-0.002001219563041488,0.0,0.0,0.0,0.0,0.0,0.0,-38.65800745109039,17.04378243633828,-2.490434052939937,-12.208838169976875,0.41836772494517743,0.0681307380524876,false,false,false,0,0,0
6.0,true,false,false,0,23,1,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmStop,true,true,true,false,false,false,true,-1.6658036375382759,-1.7408036837716434,1.6485805103113966,-2.263856015505933,-1.503607204164207,-0.06737970711720598,-0.004827967059917274,0.028239562797516875,1.7763568394002883E-13,0.011451893756664578,-0.01265994489863003,-0.012135329507678963,0.0,0.0,0.0,0.0,0.0,0.0,-18.423141071333536,37.66727791152043,13.30932628501365,5.4834652420047885,0.9084457463021873,-0.15043378845226663,false,false,true,3,20,2
6.5,true,false,false,3,20,2,0.0,0.0,0.0,0.0,0.0,0.0,true,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,ArmMove,true,true,true,false,false,false,true,-1.6658091622886912,-1.7409656172541643,1.6485805103113949,-2.263888579071164,-1.5036408517515953,-0.06730277395972628,0.0035314830883593417,-0.019610630071476426,0.0,-0.008670392598731,0.005400873613226169,0.004814927797269877,0.0,0.0,0.0,0.0,0.0,0.0,19.575691486535774,44.422026243264554,18.080533342464474,3.508595074799577,1.0382722009227188,0.9565686794408581,false,false,false,0,0,0
